,alpha,beta,gamma,tau,scf_cc,nn_scf_cc
367,22.0,0.6,14.0,1.0,2.955385517,2.955341
368,40.0,0.6,14.0,1.0,2.962905484,2.949573
369,22.0,0.5,14.0,1.0,2.876225297,2.881969
370,40.0,0.5,14.0,1.0,2.880405521,2.8914356
371,4.0,0.2,20.0,0.8,2.154005671,2.1911163
372,22.0,0.2,20.0,0.8,2.157163056,2.12539
373,4.0,0.4,14.0,1.0,2.589560238,2.5920444
374,4.0,0.3,14.0,0.8,1.952942209,1.9793211
375,22.0,0.7,14.0,1.0,2.871653921,2.8637178
376,40.0,0.7,14.0,1.0,2.882894482,2.8965244
377,22.0,0.3,14.0,0.8,1.96181378,1.9805982
378,40.0,0.3,14.0,0.8,1.962433858,1.9920229
379,4.0,0.3,8.0,0.4,0.707074393,0.7260066
380,40.0,0.3,8.0,0.4,0.712889825,0.74466205
381,22.0,0.3,8.0,0.4,0.712596059,0.7349475
382,4.0,0.6,8.0,0.8,1.553557303,1.5590287
383,22.0,0.4,14.0,1.0,2.605874108,2.61103
384,40.0,0.4,14.0,1.0,2.607385334,2.6272378
385,40.0,0.7,8.0,0.8,1.724311985,1.7724794
386,22.0,0.7,8.0,0.8,1.714663972,1.721388
387,4.0,0.7,8.0,1.0,1.811065016,1.8265216
388,22.0,0.2,14.0,0.6,0.747147159,0.8488324
389,22.0,0.6,8.0,0.8,1.60559271,1.6303009
390,40.0,0.6,8.0,0.8,1.611337914,1.6251584
391,4.0,0.4,8.0,0.6,1.052643655,1.0779381
392,40.0,0.4,8.0,0.6,1.070689975,1.0414834
393,22.0,0.4,8.0,0.6,1.069550443,1.084245
394,40.0,0.2,20.0,0.8,1.585601137,1.6909785
395,4.0,0.5,8.0,0.8,1.345621684,1.368217
396,4.0,0.2,14.0,0.6,1.144237497,1.1132057
397,40.0,0.2,14.0,0.6,1.146822768,1.0823826
398,4.0,0.6,8.0,1.0,1.659627201,1.6785774
399,22.0,0.7,8.0,1.0,1.889397847,1.9133723
400,40.0,0.7,8.0,1.0,1.900917681,1.9373277
401,22.0,0.5,8.0,0.8,1.37866625,1.4381455
402,40.0,0.5,8.0,0.8,0.979872768,1.0393722
403,22.0,0.6,8.0,1.0,1.716712157,1.7462074
404,40.0,0.6,8.0,1.0,1.723446332,1.7598296
405,4.0,0.3,14.0,1.0,1.884578402,1.9290711
406,22.0,0.3,14.0,1.0,1.892622208,1.9616824
407,40.0,0.3,14.0,1.0,1.89340848,1.947666
408,4.0,0.2,20.0,1.0,1.81149167,1.8676482
